roi,Amylax_triacantha,Aphanizomenon_flosaquae,Aphanothece_paralleliformis,Beads,Centrales_sp,Ceratoneis_closterium,Chaetoceros_sp,Chaetoceros_sp_single,Chlorococcales,Chroococcales,Chroococcus_small,Ciliata,Cryptomonadales,Cryptophyceae-Teleaulax,Cyclotella_choctawhatcheeana,Cymbomonas_tetramitiformis,Dinophyceae,Dinophysis_acuminata,Dolichospermum-Anabaenopsis,Dolichospermum-Anabaenopsis-coiled,Euglenophyceae,Eutreptiella_sp,Gonyaulax_verior,Gymnodiniales,Gymnodinium_like,Heterocapsa_rotundata,Heterocapsa_triquetra,Heterocyte,Katablepharis_remigera,Licmophora_sp,Melosira_arctica,Merismopedia_sp,Mesodinium_rubrum,Monoraphidium_contortum,Nitzschia_paleacea,Nodularia_spumigena,Oocystis_sp,Oscillatoriales,Pauliella_taeniata,Pennales_sp_thick,Pennales_sp_thin,Peridiniella_catenata_chain,Peridiniella_catenata_single,Prorocentrum_cordatum,Pseudopedinella_sp,Pyramimonas_sp,Skeletonema_marinoi,Snowella-Woronichinia,Thalassiosira_levanderi,Uroglenopsis_sp
46,0.00005,0.00007,0.00010,0.00051,0.00000,0.00334,0.00002,0.00000,0.00039,0.00462,0.00009,0.00004,0.09447,0.81916,0.00023,0.00014,0.00000,0.00000,0.00007,0.00000,0.00008,0.00153,0.00000,0.00017,0.00000,0.00392,0.00000,0.00699,0.00016,0.00000,0.00000,0.00073,0.00000,0.00907,0.00001,0.00000,0.00029,0.00050,0.00000,0.00015,0.00025,0.00000,0.00000,0.00011,0.00126,0.04952,0.00013,0.00045,0.00013,0.00122
47,0.00013,0.00143,0.00047,0.00006,0.00015,0.01087,0.00164,0.00001,0.00068,0.00069,0.00004,0.00017,0.09309,0.81269,0.00009,0.00085,0.00003,0.00000,0.00086,0.00032,0.00938,0.02016,0.00002,0.00340,0.00001,0.00679,0.00006,0.00359,0.00062,0.00187,0.00001,0.00008,0.00006,0.00075,0.00021,0.00004,0.01314,0.00030,0.00001,0.00712,0.00218,0.00004,0.00015,0.00207,0.00026,0.00041,0.00068,0.00090,0.00126,0.00016
48,0.00001,0.00021,0.00004,0.00173,0.00000,0.00373,0.00002,0.00000,0.00004,0.00115,0.00001,0.00001,0.06061,0.86757,0.00021,0.00002,0.00000,0.00000,0.00003,0.00000,0.00003,0.00213,0.00000,0.00004,0.00000,0.00542,0.00000,0.02226,0.00021,0.00001,0.00000,0.00004,0.00000,0.00134,0.00001,0.00000,0.00009,0.00013,0.00000,0.00036,0.00017,0.00000,0.00000,0.00005,0.00059,0.03058,0.00023,0.00005,0.00066,0.00017
49,0.00001,0.00020,0.00003,0.00040,0.00000,0.00553,0.00002,0.00000,0.00003,0.00024,0.00000,0.00001,0.02876,0.95326,0.00005,0.00001,0.00000,0.00000,0.00005,0.00000,0.00016,0.00149,0.00000,0.00005,0.00000,0.00159,0.00000,0.00330,0.00008,0.00001,0.00000,0.00001,0.00000,0.00079,0.00001,0.00000,0.00016,0.00012,0.00000,0.00041,0.00038,0.00000,0.00000,0.00002,0.00011,0.00245,0.00010,0.00003,0.00008,0.00006
50,0.00005,0.00034,0.00005,0.01779,0.00000,0.00088,0.00001,0.00002,0.00017,0.01198,0.00091,0.00002,0.00823,0.05485,0.00124,0.00003,0.00000,0.00000,0.00024,0.00000,0.00001,0.00024,0.00000,0.00001,0.00002,0.00365,0.00000,0.03158,0.00004,0.00000,0.00000,0.00993,0.00000,0.04129,0.00001,0.00001,0.00002,0.00568,0.00000,0.00030,0.00065,0.00000,0.00000,0.00002,0.00591,0.68562,0.00035,0.00020,0.00012,0.11751
51,0.00001,0.00101,0.00005,0.00166,0.00022,0.00005,0.00271,0.00103,0.00040,0.00013,0.00075,0.00001,0.00094,0.00086,0.05212,0.00010,0.00017,0.00000,0.00041,0.00008,0.00000,0.00072,0.00000,0.00005,0.00042,0.01001,0.00045,0.00243,0.00003,0.00002,0.00006,0.00108,0.00058,0.00009,0.00004,0.00068,0.00004,0.00021,0.00003,0.00036,0.00002,0.00098,0.00014,0.00002,0.01678,0.00855,0.00065,0.00034,0.89190,0.00062
52,0.00013,0.00010,0.00016,0.00003,0.00002,0.00624,0.00040,0.00000,0.00021,0.00023,0.00001,0.00008,0.04931,0.92376,0.00003,0.00030,0.00001,0.00000,0.00004,0.00002,0.00304,0.00580,0.00000,0.00049,0.00001,0.00165,0.00001,0.00047,0.00031,0.00024,0.00000,0.00001,0.00001,0.00051,0.00004,0.00000,0.00220,0.00004,0.00000,0.00042,0.00023,0.00001,0.00005,0.00025,0.00117,0.00032,0.00019,0.00021,0.00121,0.00003
53,0.00071,0.00628,0.00134,0.00022,0.00082,0.01573,0.00319,0.00004,0.00099,0.00065,0.00007,0.00100,0.05785,0.76189,0.00022,0.00136,0.00006,0.00004,0.00215,0.00087,0.01710,0.02128,0.00009,0.00388,0.00004,0.00576,0.00016,0.00674,0.00170,0.01061,0.00008,0.00011,0.00048,0.00166,0.00064,0.00044,0.02933,0.00100,0.00004,0.02434,0.00775,0.00017,0.00075,0.00527,0.00030,0.00042,0.00102,0.00097,0.00217,0.00021
54,0.00022,0.00297,0.00043,0.15861,0.00000,0.00110,0.00006,0.00038,0.00071,0.02448,0.00686,0.00009,0.00335,0.01075,0.00689,0.00004,0.00001,0.00002,0.00302,0.00003,0.00001,0.00021,0.00000,0.00003,0.00014,0.01094,0.00000,0.07717,0.00008,0.00001,0.00000,0.05726,0.00001,0.02429,0.00018,0.00024,0.00005,0.01062,0.00001,0.00183,0.00274,0.00005,0.00000,0.00003,0.00605,0.33651,0.00219,0.00069,0.00052,0.24812
55,0.00007,0.01045,0.00046,0.00033,0.00063,0.00526,0.00527,0.00003,0.00102,0.00032,0.00002,0.00025,0.09190,0.62961,0.00077,0.00103,0.00040,0.00001,0.02003,0.00448,0.00227,0.04811,0.00001,0.03111,0.00023,0.05360,0.00038,0.01857,0.00151,0.00059,0.00019,0.00003,0.00054,0.00085,0.00041,0.00060,0.03765,0.00042,0.00001,0.01060,0.00168,0.00027,0.00083,0.00242,0.00033,0.00037,0.00147,0.00104,0.01141,0.00016
